,FastText,Ngram2Vec,NaiveB1,NaiveB2,Kosac
정확도,0.38125,0.38125,0.44375,0.38125,0.375
"정밀도(1,0,-1)","[0, 0, 0.381]","[0.455, 0.0, 0.365]","[0.46, 0, 0.404]","[0, 0, 0.381]","[0.393, 0, 0.326]"
"재현율(1,0,-1)","[0.0, 0.0, 1.0]","[0.224, 0.0, 0.754]","[0.776, 0.0, 0.311]","[0.0, 0.0, 1.0]","[0.687, 0.0, 0.23]"
"F1-score(1,0,-1)","[0, 0, 0.552]","[0.3, 0, 0.492]","[0.578, 0, 0.352]","[0, 0, 0.552]","[0.5, 0, 0.269]"
정밀도Macro,0.127,0.273,0.288,0.127,0.24
재현율Macro,0.333,0.326,0.363,0.333,0.305
F1-scoreMacro,0.184,0.264,0.31,0.184,0.256
