,date,tone_i_n2v,tone_i_ft,tone_i_nb1,tone_i_nb2,tone_i_kosac
0,2009-04-09,0.16666666666666666,-0.6134259259259259,-0.03174603174603174,0.0,-0.16666666666666666
1,2009-05-12,0.16666666666666666,-0.4101851851851852,-0.32393162393162395,0.0,-0.3111111111111111
2,2009-06-11,0.0,-0.4758547008547008,-0.30952380952380953,0.0,-0.028354978354978355
3,2009-07-09,0.0,-0.43931623931623925,-0.07517006802721087,0.0,-0.03877551020408163
4,2009-08-11,0.0,-0.44172335600907026,0.022727272727272724,0.0,-0.03174603174603174
5,2009-09-10,0.0,-0.4718614718614718,-0.2261904761904762,0.0,-0.15555555555555553
6,2009-10-09,0.0,-0.5808080808080808,-0.4154040404040404,0.0,-0.18611111111111112
7,2009-11-12,-0.16666666666666666,-0.5472222222222222,-0.28518518518518515,0.0,0.0
8,2009-12-10,0.0,-0.6296296296296297,-0.30291005291005296,0.0,-0.20833333333333334
9,2010-01-08,0.2857142857142857,-0.4571428571428572,-0.13333333333333333,0.0,-0.14285714285714285
10,2010-02-11,0.14285714285714285,-0.44761904761904764,-0.2571428571428571,0.0,-0.25952380952380955
11,2010-03-11,0.2857142857142857,-0.6020408163265306,-0.1619047619047619,0.0,-0.4714285714285714
12,2010-04-09,-0.1,-0.48,-0.053333333333333344,0.0,-0.11666666666666667
13,2010-05-12,0.25,-0.5375,0.009920634920634922,0.0,0.12777777777777777
14,2010-06-10,0.09090909090909091,-0.5329004329004329,-0.23795093795093794,0.0,0.21212121212121213
15,2010-07-09,-0.09090909090909091,-0.5137741046831956,-0.3702020202020202,0.0,0.07316017316017315
16,2010-08-12,0.0,-0.5692640692640693,-0.20808080808080806,0.0,0.09090909090909091
17,2010-09-09,0.0,-0.6285714285714286,-0.17777777777777778,0.0,0.18787878787878787
18,2010-10-14,0.09090909090909091,-0.410966810966811,0.0005772005772005751,0.0,0.18181818181818182
19,2010-11-16,0.25,-0.47453703703703703,0.0763227513227513,0.0,0.29365079365079366
20,2010-12-09,0.15384615384615385,-0.46355311355311357,0.04487179487179487,0.0,0.0915750915750916
21,2011-01-13,0.0,-0.3111111111111111,0.1054945054945055,0.0,0.22893772893772896
22,2011-02-11,-0.07692307692307693,-0.30964590964590966,0.14523809523809522,0.0,-0.05128205128205129
23,2011-03-10,0.0,-0.43009259259259264,0.20099206349206347,0.0,0.13333333333333333
24,2011-04-12,0.07692307692307693,-0.427045177045177,0.2804029304029304,0.0,0.07179487179487179
25,2011-05-13,0.0,-0.4444444444444444,0.2351037851037851,0.0,-0.01666666666666667
26,2011-06-10,0.0,-0.3705215419501134,0.22125850340136055,0.0,0.09761904761904762
27,2011-07-14,-0.07142857142857142,-0.5410997732426304,0.04591836734693878,0.0,0.09047619047619047
28,2011-08-11,-0.11904761904761905,-0.4508967223252937,0.09977324263038548,0.0,0.04761904761904762
29,2011-09-08,-0.07692307692307693,-0.44578754578754576,0.26297036297036297,0.0,-0.0564102564102564
30,2011-10-13,-0.07142857142857142,-0.5050353474723223,0.2062564419707277,0.0,-0.08656462585034012
31,2011-11-11,-0.030303030303030297,-0.6339039748130657,-0.04679260133805588,0.0,-0.27056277056277056
32,2011-12-08,-0.18181818181818182,-0.44137150728059815,0.10343696707333071,0.0,-0.16786042240587695
33,2012-01-13,-0.1794871794871795,-0.49741924741924737,0.1264957264957265,0.0,0.06752136752136752
34,2012-02-09,-0.05128205128205127,-0.531990231990232,0.19688644688644688,0.0,0.07435897435897437
35,2012-03-08,-0.1794871794871795,-0.5391330891330891,0.17051282051282052,0.0,0.020046620046620042
36,2012-04-13,-0.1794871794871795,-0.592979242979243,-0.07399267399267398,0.0,-0.025641025641025644
37,2012-05-10,-0.2777777777777778,-0.6076719576719577,0.017526455026455032,0.0,-0.15555555555555553
38,2012-06-08,-0.19230769230769232,-0.46324786324786327,0.2015873015873016,0.0,-0.031868131868131866
39,2012-07-12,-0.11538461538461539,-0.6175824175824176,-0.11475063398140321,0.0,-0.2238095238095238
40,2012-08-09,0.038461538461538464,-0.7205128205128205,0.13113553113553114,0.0,0.05567765567765569
41,2012-09-13,0.125,-0.6977272727272728,-0.10773809523809523,0.0,-0.19999999999999998
42,2012-10-11,0.11538461538461539,-0.7193306693306692,-0.21153846153846154,0.0,-0.2139194139194139
43,2012-11-09,-0.038461538461538464,-0.6095238095238096,-0.09267399267399266,0.0,-0.20842490842490843
44,2012-12-13,0.041666666666666664,-0.7934343434343435,-0.07771164021164022,0.0,-0.10357142857142858
45,2013-01-11,0.041666666666666664,-0.6086466165413534,0.03194444444444444,0.0,-0.13273809523809524
46,2013-02-14,0.125,-0.5585858585858586,-0.1236111111111111,0.0,-0.24444444444444446
47,2013-03-14,0.20833333333333334,-0.5863636363636363,0.06163419913419913,0.0,-0.24351851851851855
48,2013-04-11,0.125,-0.5788720538720539,0.1810185185185185,0.0,-0.19074074074074077
49,2013-05-09,0.05128205128205129,-0.44516111907416256,-0.00974025974025974,0.0,-0.18846153846153849
50,2013-06-13,0.125,-0.5366161616161617,0.23055555555555554,0.0,-0.049206349206349205
51,2013-07-11,0.03571428571428571,-0.6933744826601969,0.06462585034013606,0.0,-0.017857142857142856
52,2013-08-08,-0.038461538461538464,-0.6374125874125873,0.06483516483516484,0.0,-0.16794871794871796
53,2013-09-12,-0.19230769230769232,-0.5639086403792286,-0.0398046398046398,0.0,0.10085470085470084
54,2013-10-10,-0.25,-0.5764172335600907,0.09977324263038549,0.0,0.2841269841269841
