,date,tone_i_n2v,tone_i_ft,tone_i_nb1,tone_i_nb2,tone_i_kosac
0,2009-04-09,0.0,-0.6171296296296296,0.023809523809523826,0.0,0.0023294066071064684
1,2009-05-12,0.0,-0.41633986928104577,-0.25555555555555554,0.0,0.015354650716969565
2,2009-06-11,0.0,-0.48134920634920636,-0.26666666666666666,0.0,-0.05936100936100936
3,2009-07-09,0.0,-0.4471655328798186,-0.0153061224489796,0.0,-0.08202960536441298
4,2009-08-11,0.0,-0.44444444444444436,0.08333333333333333,0.0,-0.08116341273351445
5,2009-09-10,0.0,-0.42424242424242425,-0.21825396825396828,0.0,-0.06026233337157706
6,2009-10-09,0.0,-0.5808080808080808,-0.32651515151515154,0.0,-0.16929271708683472
7,2009-11-12,-0.16666666666666666,-0.5472222222222222,-0.1574074074074074,0.0,-0.04872227850951255
8,2009-12-10,0.0,-0.5978835978835978,-0.3306878306878307,0.0,-0.09413819875776397
9,2010-01-08,0.14285714285714285,-0.42857142857142855,-0.22857142857142856,0.0,0.0657742389885247
10,2010-02-11,0.14285714285714285,-0.4714285714285714,-0.18571428571428572,0.0,0.05006479622863581
11,2010-03-11,0.14285714285714285,-0.5877551020408163,-0.09523809523809525,0.0,0.03539290881334146
12,2010-04-09,-0.2,-0.4847619047619047,-0.07380952380952381,0.0,0.07743146301582834
13,2010-05-12,0.0,-0.5095238095238095,-0.040873015873015874,0.0,0.04674823954750142
14,2010-06-10,0.0,-0.538961038961039,-0.20714285714285713,0.0,0.09378758524466577
15,2010-07-09,-0.09090909090909091,-0.4955922865013774,-0.32727272727272727,0.0,0.02893027780819107
16,2010-08-12,-0.18181818181818182,-0.5510822510822511,-0.13484848484848486,0.0,0.04586770177910786
17,2010-09-09,-0.18181818181818182,-0.6225108225108225,-0.13268398268398265,0.0,0.0647363661457691
18,2010-10-14,-0.18181818181818182,-0.3818181818181818,0.05562770562770562,0.0,0.11376954133552375
19,2010-11-16,-0.16666666666666666,-0.4438492063492063,0.0783068783068783,0.0,0.09098131044250514
20,2010-12-09,-0.15384615384615385,-0.43003108003108004,0.09798534798534798,0.0,0.006989993594407856
21,2011-01-13,-0.07692307692307693,-0.2911976911976912,0.11923076923076922,0.0,0.07603787253056747
22,2011-02-11,-0.07692307692307693,-0.3224664224664225,0.17362637362637362,0.0,0.05224987774888913
23,2011-03-10,-0.08333333333333333,-0.43009259259259264,0.22083333333333333,0.0,0.07804803312924091
24,2011-04-12,-0.07692307692307693,-0.4146520146520147,0.3243589743589744,0.0,0.051114692584043296
25,2011-05-13,-0.15384615384615385,-0.43663003663003663,0.27905982905982907,0.0,0.012191013639987001
26,2011-06-10,-0.14285714285714285,-0.35595238095238096,0.23826530612244898,0.0,0.09517328214350503
27,2011-07-14,-0.07142857142857142,-0.5188775510204081,0.08673469387755103,0.0,0.0396680099459758
28,2011-08-11,-0.14285714285714285,-0.4615027829313543,0.14909297052154197,0.0,0.09221475703481549
29,2011-09-08,-0.1794871794871795,-0.4595942519019442,0.317948717948718,0.0,0.10645495759593121
30,2011-10-13,-0.16666666666666669,-0.5059510983880732,0.2852813852813853,0.0,0.014839514772809337
31,2011-11-11,-0.303030303030303,-0.6115013774104683,0.042962088416633876,0.0,-0.009115890696918367
32,2011-12-08,-0.2727272727272727,-0.4265319350880848,0.19696969696969696,0.0,0.007011091775982056
33,2012-01-13,-0.23076923076923078,-0.45003362650421475,0.22692307692307695,0.0,0.07334742597245575
