통계표코드,통계명,통계항목코드1,통계항목명1,통계항목코드2,통계항목명2,통계항목코드3,통계항목명3,통계항목코드4,통계항목명4,단위,WGT,시점,값
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080124,5.01
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080125,5.01
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080128,5.01
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080129,5
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080130,4.98
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080131,4.96
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080201,4.91
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080204,4.96
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080205,4.93
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080211,5
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080212,5
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080213,5
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080214,5
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080215,5
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080218,4.98
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080219,4.95
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080220,4.95
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080221,5.02
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080222,5.01
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080225,4.98
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080226,4.95
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080227,4.94
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080228,4.96
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080229,4.94
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080303,4.94
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080304,4.95
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080305,4.94
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080306,5
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080307,5
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080310,4.99
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080311,4.99
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080312,4.98
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080313,4.98
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080314,4.98
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080317,4.96
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080318,4.99
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080319,4.94
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080320,4.98
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080321,4.98
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080324,4.97
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080325,4.97
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080326,4.94
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080327,4.94
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080328,4.96
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080331,4.98
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080401,4.97
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080402,5
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080403,5.01
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080404,5.1
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080407,5.04
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080408,5.03
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080410,4.98
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080411,5
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080414,5
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080415,5
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080416,5
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080417,5
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080418,5
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080421,4.97
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080422,4.98
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080423,4.98
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080424,5
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080425,4.96
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080428,4.89
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080429,4.94
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080430,4.95
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080502,4.96
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080506,5.19
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080507,5.18
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080508,5.01
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080509,5
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080513,4.93
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080514,4.87
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080515,4.9
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080516,4.95
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080519,4.93
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080520,4.63
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080521,4.62
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080522,5
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080523,5
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080526,5
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080527,5.01
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080528,5.03
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080529,5.03
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080530,5.04
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080602,5
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080603,5
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080604,5
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080605,5
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080609,4.81
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080610,4.57
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080611,4.57
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080612,4.99
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080613,4.99
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080616,5.01
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080617,5
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080618,5
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080619,5
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080620,5.01
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080623,4.62
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080624,4.55
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080625,4.55
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080626,5.01
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080627,4.99
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080630,5.01
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080701,4.99
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080702,4.99
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080703,4.99
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080704,5.03
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080707,5.01
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080708,5.01
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080709,5.02
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080710,5.01
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080711,5.01
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080714,5
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080715,5.01
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080716,5
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080717,5.01
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080718,5.01
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080721,4.58
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080722,4.57
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080723,4.59
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080724,5
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080725,5
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080728,5.01
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080729,5
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080730,5
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080731,5.03
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080801,5.02
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080804,5.02
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080805,5.02
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080806,5.01
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080807,5.24
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080808,5.24
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080811,5.24
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080812,5.25
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080813,5.25
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080814,5.25
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080818,5.24
817Y002,1.3.2.1. 시장금리(일별),010101000,"콜금리(1일, 전체거래)",,,,,,,연%,,20080819,5.22
